vendedor,valor_total,cartao_credito,boleto,voucher,cartao_debito
0887a9f087bcd5d9f6642b52f897fc6c,1862.35,87.0,7.0,0,6.0
08ad4ac1388e4420ca531c3edfc46198,310.67,58.0,42.0,0,0
08cdbae123ff67ca4e36d9d641ce0119,4195.46,76.0,0,0,24.0
08d0949a9a17c027262db1f3c450c26c,557.84,89.0,0,0,11.0
08d1c9478fb0d7d7fcac9c0da4e82fc7,605.57,100.0,0,0,0
08d2d642cf72b622b14dde1d2f5eb2f5,1235.26,54.0,43.0,0,3.0
08f5819815f3d06545011850bd70f0a8,522.83,67.0,33.0,0,0
091065b789659bc3cd9af9cb3a6253ff,1444.37,51.0,49.0,0,0
0936e1837d0c79253456bbb2ffaaef10,70.02,100.0,0,0,0
093805f8f2aeb63881444571e1f48f30,1559.73,55.0,42.0,3.0,0
094ced053e257ae8cae57205592d6712,1978.23,80.0,17.0,3.0,0
0951a6e282947e09cd47969f4ed0b47f,580.32,100.0,0,0,0
09883d9ab71c8fe8a9bfc7fc3075b07e,406.17,63.0,37.0,0,0
099095b050cfe8eb1ddff5317587e96e,5909.15,85.0,15.0,0,0
09bad886111255c5b5030314fc7f1a4a,560.36,60.0,40.0,0,0
09f952a5f58d2285b0372551ae8f9b01,13870.21,69.0,23.0,8.0,0
0a198e95d32b1be2da9424c962a6ebfa,86.67,100.0,0,0,0
0a82f5fb06a4fe4ac2cf7cb412ec71b8,484.8,100.0,0,0,0
0a85ebe4e328db81ac9109781205e2f7,805.65,66.0,26.0,8.0,0
0aa124728afc1131dff5655f4c6f487b,958.78,7.0,93.0,0,0
0aa2205ca24f113f4658a5c536667426,988.1,71.0,29.0,0,0
0ac4201fda2c68ebc0e47cb9423cf3c9,1910.87,70.0,27.0,3.0,0
0ad80de75c811326389cfb1daba7d45e,1564.72,88.0,12.0,0,0
0adac9fbd9a2b63cccaac4f8756c1ca8,18560.58,87.0,11.0,1.0,0
0ade5cc4a305ed7093a23f68ca47519c,201.27,100.0,0,0,0
0aea4c6ae1505b3228ddf3dd7822ee5b,1579.66,81.0,0,19.0,0
0af2ab31141893d26aca5a404a537dab,74.51,100.0,0,0,0
0af977692321d895349eded183341d28,277.22,100.0,0,0,0
0afccdb8a34ee5c79f7c06faf2b4d56e,1613.78,69.0,31.0,0,0
0b09101900100c0e9d312861fad5a1b9,168.36,100.0,0,0,0
0b0ddbc7b9d9584f442c7ac92b0ff6c9,1550.64,100.0,0,0,0
0b18d63d0cd1d723567903fd34a07df2,1944.03,85.0,15.0,0,0
0b1ca3ef18a63d7eb0c8897fa0849c08,62.87,0,100.0,0,0
0b35c634521043bf4b47e21547b99ab5,15008.74,83.0,16.0,0,1.0
0b36063d5818f81ccb94b54adfaebbf5,783.0,100.0,0,0,0
0b3f27369a4d8df98f7eb91077e438ac,171.39,100.0,0,0,0
0b46f784306be7200ca1700aa55d819f,30.86,100.0,0,0,0
0b64bcdb0784abc139af04077d49a20e,205.81,74.0,0,0,26.0
0b90b6df587eb83608a64ea8b390cf07,32322.65,65.0,33.0,1.0,1.0
0bae85eb84b9fb3bd773911e89288d54,10541.38,80.0,15.0,4.0,1.0
0bb27263628258b8111a0262769fa9db,33.16,100.0,0,0,0
0bb738e4d789e63e2267697c42d35a2d,3030.64,62.0,26.0,0,12.0
0be8ff43f22e456b4e0371b2245e4d01,14535.23,84.0,12.0,3.0,1.0
0bebbb2cea103a4a020c95d43fd7d754,1514.34,76.0,0,0,24.0
0bf0150d5b9d60d9cd2906003332f085,6948.39,71.0,27.0,2.0,0
0bfd0b434243adc5c2e1aa6baf19c6aa,436.99,100.0,0,0,0
0c7533c71df861ec58ad7ff999ed0e8d,4038.23,75.0,11.0,9.0,5.0
0c7f30ae9b147eca07affbef92832a6a,567.11,89.0,0,0,11.0
0c8380b62e38e8a1e6adbeba7eb9688c,22514.32,79.0,13.0,6.0,2.0
0cab2da43793a6f3c5ed8514c5f54627,366.9,100.0,0,0,0
0cbcee27c791afa0cdcb08587a2013a8,6448.07,81.0,14.0,5.0,0
0d33a55da925bbf1ff02af5f6059fc7f,932.91,71.0,29.0,0,0
0d4c8269e7f0401201794deef160edd6,892.03,100.0,0,0,0
0d83f8e03188682112cc0d93523705cc,820.57,75.0,25.0,0,0
0d85bbda9889ce1f7e63778d24f346eb,6640.02,78.0,19.0,3.0,0
0daf5180aa44356f60f8effa533b55a2,183.63,68.0,32.0,0,0
0db783cfcd3b73998abc6e10e59a102f,11369.53,71.0,26.0,3.0,1.0
0dd184061fb0eaa7ca37932c68ab91c5,24224.67,82.0,15.0,2.0,1.0
0ddefe3c7a032b91f4e25b9c3a08fca1,552.9,85.0,15.0,0,0
0df3984f9dfb3d49ac6366acbd3bbb85,11777.23,79.0,17.0,3.0,1.0
0dfbed20065e425d2eaefb101f9816c0,133.6,100.0,0,0,0
0e44d110fa6a54e121cb2c095a77762f,309.43,17.0,78.0,5.0,0
0e72c1a751b496722a6cb1f10653b62a,192.1,77.0,0,0,23.0
0e982cff76cc0579f632cea8a0e38c9d,1480.31,51.0,49.0,0,0
0ea22c1cfbdc755f86b9b54b39c16043,15554.44,67.0,27.0,6.0,0.0
0eaa7e33d73809f1f925f7d07c506cbd,1746.9,72.0,28.0,0,0
0ebd97a106433a45a4aebe57c1799778,3800.07,77.0,17.0,6.0,0
0ec28cec4046a4a199b6de9b4c891d97,352.64,100.0,0,0,0
0ed6ce5d87fd9c69eaacaeb778d67235,2829.25,79.0,17.0,3.0,1.0
0ee4fb99ac55ffbbc98795aa01b7f8fa,70.93,100.0,0,0,0
0ef83d7d83ed97cd2a0049ac8be5f88a,5521.67,91.0,6.0,1.0,1.0
0f0c984a4a955310903b6b6008660bad,481.38,83.0,17.0,0,0
0f519b0d2e5eb2227c93dd25038bfc01,102.9,100.0,0,0,0
0f7eea709efdf942b5f95c7516dbacd7,240.06,100.0,0,0,0
0f80a40c312b2472dca482cf50f5186f,150.0,100.0,0,0,0
0f94588695d71662beec8d883ffacf09,27.59,100.0,0,0,0
0fe2d9733ed841eb064503920015a8c0,498.35,100.0,0,0,0
0ff83046c3fa22efee8ecf291888b191,1239.29,67.0,15.0,17.0,0
0ffa40d54288e4f3499b8780dd0f144f,2746.47,78.0,21.0,0,2.0
10076e5788b8ee532724bcd460baf762,1198.78,96.0,4.0,0,0
10089e9f2fd0c668a8fd4e52e1698888,1199.31,100.0,0,0,0
101921376b577a4540dc30e9009133ca,394.49,0,100.0,0,0
101a3a003516bc11253298b2fad3cb65,524.0,90.0,10.0,0,0
1025f0e2d44d7041d6cf58b6550e0bfa,175570.38,78.0,19.0,2.0,1.0
10264f60a8f0a4d2f30810f5c661c673,326.46,79.0,21.0,0,0
1099a00e0ee3a50935e6c2447ca090c5,910.83,100.0,0,0,0
10cdd491d1dbea8fb4ead97b19c334ce,287.76,100.0,0,0,0
10ff823eda2b032e2c93d17a7d294736,1626.2,84.0,6.0,10.0,0
112453736dbe3889cfb74e1aaa0ba0c1,2154.77,73.0,27.0,0,0
1127b7f2594683f2510f1c2c834a486b,8816.31,77.0,19.0,3.0,0.0
11305281b50fff20ae8bb473f8e11876,7973.21,79.0,19.0,0,2.0
113e3a788b935f48aad63e1c41dac1bd,1583.67,82.0,15.0,3.0,0
116ccb1a1604bc88e4d234a8c23f33de,2948.33,77.0,21.0,1.0,1.0
11742f81550ac064cc9a40f67151d9ad,831.01,100.0,0,0,0
117cfc326c6d50da67ca858ff5c0c852,629.19,85.0,0,15.0,0
11938fcc75f6902fea1d0a6f72b54a57,737.14,100.0,0,0,0
119c7f1a00ef43fad0e57604e76a747c,206.82,100.0,0,0,0
119d1aef1b4144adba89163f6cd9f5d4,1298.24,100.0,0,0,0
11bfa66332777660bd0640ee84d47006,5608.54,71.0,22.0,7.0,0
11d4c477d09821164bca4f70a2eae031,140.86,100.0,0,0,0
11eac105f3f90a9b87b19c89d91e24f3,927.83,100.0,0,0,0
11fb6f6d341adbe19e81733701704635,1596.66,100.0,0,0,0
120476eb7a04c149d14772edaf5d9bf2,2519.63,60.0,37.0,0,4.0
1284de4ae8aa26997e748c851557cf0e,1546.84,77.0,23.0,0,0
128639473a139ac0f3e5f5ade55873a5,21900.18,70.0,26.0,3.0,2.0
128f9bfbe4c7d5185033914b1de3d39a,1925.62,72.0,14.0,14.0,0
12a8eb0f8d1cd3270695bf2a99f55966,436.67,100.0,0,0,0
12b9676b00f60f3b700e83af21824c0e,31087.22,77.0,19.0,2.0,2.0
12c2ed9cded6138cf0c75f525f565fc7,366.01,57.0,43.0,0,0
13074f016982ff2bd6c58ced8682f000,3111.7,60.0,22.0,0,18.0
131fcb0a0c9a47bba4474aacff0f14b7,406.41,100.0,0,0,0
1336efc61c316ddf92c899eb817f7cae,6378.24,85.0,15.0,1.0,0
134285d1f41da5c13a756ee8142c8a4e,1653.63,100.0,0,0,0
134a288e7de827ec5ec62e3ec9c3a295,1004.0,32.0,68.0,0,0
134b867a0f7f8bbe6abf10f91874891e,922.84,100.0,0,0,0
13511db12ac61e2f89c53b72a944a60b,1063.97,65.0,17.0,18.0,0
1352e06ae67b410cdae0b2a22361167b,765.22,100.0,0,0,0
1354d51653f645349064725ed204e85e,2694.72,63.0,37.0,0,0
138dbe45fc62f1e244378131a6801526,1814.8,71.0,22.0,1.0,5.0
139157dd4daa45c25b0807ffff348363,37.68,100.0,0,0,0
13c2ed7698b3ca92dad49e849219da59,653.29,89.0,11.0,0,0
13d058e4eeac2ce8217660b2f8a05812,4755.88,58.0,33.0,0,9.0
13d95f0f6f73943d4ceffad0fc2cd32c,309.32,100.0,0,0,0
13dd308f81fea30cc670c656b2b46cc3,151.14,100.0,0,0,0
13e85aac53340018b40c2af68001b7e0,31.92,0,100.0,0,0
13f57c12a00ed4610db646b913a7f5c6,821.15,78.0,0,22.0,0
13fa2a6c6b9d0f43cb588d7c82117a12,4719.44,62.0,38.0,0,0
141440cad9341e553f8401c574a2aa38,1579.0,64.0,4.0,0,32.0
1430239a858e7682bbc43b20758af153,929.54,88.0,4.0,4.0,4.0
1444c08e64d55fb3c25f0f09c07ffcf2,2818.74,100.0,0,0,0
1464afc72f696af775557a821c2e253f,1541.95,78.0,20.0,2.0,0
14a08204d03bb6b6bde8029f801ae0eb,2779.1,80.0,20.0,0,0
14d7985702e72162bbf13b6beb74ab2b,4441.0,73.0,22.0,2.0,2.0
14ee35374a7876217954b5fa08e50463,923.05,85.0,15.0,0,0
14f2b3587172b9db894c9bad8dab520b,330.06,100.0,0,0,0
152ee17e4c8aaf53dac99f3462e4999b,404.93,44.0,56.0,0,0
154bdf805377afea75a3bd158e9eab10,109.72,100.0,0,0,0
1554a68530182680ad5c8b042c3ab563,36734.6,77.0,16.0,5.0,2.0
157c3e4b42f81ac4a44e8b1ca2fe9876,3195.78,58.0,40.0,2.0,0
1588ac4010787100dddef64568f0ae35,645.97,100.0,0,0,0
15aac934c58d886785ac1b17953ea898,5019.6,73.0,27.0,0,0
15ac3c501e2599e4917316fde5c5669a,195.81,100.0,0,0,0
15aec03fe4cf30dfa574cf550f5ff5ff,39.86,0,0,100.0,0
15b3b1b81484422eb41df68ac87f1f50,102.89,54.0,46.0,0,0
15cd6eefe58588619aaed41dfa6621b1,2247.69,92.0,6.0,3.0,0
15ead3a5037a918ddb520dfe39a3d2b9,481.18,52.0,11.0,10.0,27.0
15fa791d5e017f66402dc28c44480657,2071.66,96.0,0,4.0,0
160851d3ece7aa1a510f8d1a4bb8a8af,141.15,47.0,53.0,0,0
16090f2ca825584b5a147ab24aa30c86,31384.11,73.0,24.0,1.0,2.0
160e4f13fd3a64b1b86807be88b5ffb0,980.45,100.0,0,0,0
164a5a8794e6d42e14f55e447b12a3bc,136.76,100.0,0,0,0
165b1235e9e9942cb5fae67103576fb0,2489.8,71.0,29.0,0,0
165fc07beebdcb6190fba8a06db2a449,19081.43,57.0,43.0,0,0.0
1660ad786c27fd935378b6192a90b417,1960.39,58.0,19.0,15.0,8.0
166e8f1381e09651983c38b1f6f91c11,109.0,50.0,50.0,0,0
167fd940acebc789debd6eb418c46e38,1178.48,41.0,31.0,0,28.0
1690cada046eb7e92c12f98b1f8a8167,2211.38,65.0,27.0,0,8.0
16bdc8cefd0e32a6f0824d296c5ad14a,61.08,100.0,0,0,0
1703bc09972dab9782e7a9194943b69f,356.11,100.0,0,0,0
1710c3aaa9c6b44ec3883ee0fe300e21,1226.55,100.0,0,0,0
17306570e772e7718c92a562d33f5f1d,10842.56,73.0,25.0,2.0,0
173d56ffbd4c56cb80fc3615487d712b,397.61,100.0,0,0,0
1746c1ae87ac63d530c7c943d0ac42e2,252.35,100.0,0,0,0
1771297ac436903d1dd6b0e9279aa505,3466.43,92.0,5.0,2.0,1.0
1782ce2db72c3dda627d5e7c898104e1,2469.57,71.0,19.0,10.0,0
17908cf9b444ee34047cadd5c0f4a516,2495.41,51.0,42.0,0,8.0
17998cf586426bf0f2c3726cb0a4b211,115.52,36.0,64.0,0,0
179d859f51292aac5c10806a356f7af9,800.27,50.0,50.0,0,0
17a053fcb14bd219540cbde0df490be0,49951.23,66.0,28.0,4.0,3.0
17adeba047385fb0c67d8e90b4296d21,1097.31,100.0,0,0,0
17ca9b9e9b9ef8fdb529001b49ebb50f,12353.61,80.0,15.0,4.0,1.0
17e34d8224d27a541263c4c64b11a56b,62838.46,85.0,10.0,3.0,2.0
17eea220a40cc0d2c0c5346379682398,1512.99,100.0,0,0,0
17f51e7198701186712e53a39c564617,57812.43,76.0,22.0,0,1.0
180c3376aff0e43dd5788709df48a843,4722.97,90.0,10.0,0,0
1835b56ce799e6a4dc4eddc053f04066,42769.99,77.0,20.0,2.0,2.0
1838dd9b8977065acf51d95e0053ea7a,4075.88,63.0,35.0,1.0,0
184725737946a1a938bbbd1a9e978103,403.57,100.0,0,0,0
184a67a8f9f63234d3a92340bbdb727f,477.0,82.0,18.0,0,0
186cdd1b2df32caa72cfb410bba768d3,1609.73,80.0,3.0,8.0,9.0
189ca3538ce9f920cacf0f982cbe223b,481.67,65.0,35.0,0,0
18a349e75d307f4b4cc646a691ed4216,11238.12,54.0,40.0,5.0,1.0
18e694e0e48ed6f7aa3f24aade5fd697,1272.27,75.0,14.0,5.0,6.0
1900267e848ceeba8fa32d80c1a5f5a8,33830.88,75.0,21.0,3.0,1.0
191d55f7edb8524d525ed01b20fe32e8,812.8,100.0,0,0,0
1927cdb9fa74f5270097f6250e8e8f34,178.92,100.0,0,0,0
19484c79cef6c062cb177aa4ef2fcc3c,212.06,0,100.0,0,0
1961c3e1272bfeceb05d0b78b5bbfdaf,945.43,26.0,25.0,0,48.0
1967a9e2ad6f51802b093147d861df58,425.76,100.0,0,0,0
1976a05ecf2996d6ffb7b5430e635fe7,2190.66,91.0,9.0,0,0
1987cd4be10fe09ee50454f9c354d1c6,3135.23,81.0,19.0,0,0
198c7ea11960a9844b544d9bcdca860c,2225.38,78.0,13.0,1.0,7.0
1992f8fb6b19fcccd97ca819811e7267,40.02,100.0,0,0,0
1996942dc085d7773ba77a529b163cd0,3183.43,81.0,19.0,0,0
19a7c9f66ffa6452ff4b4c0cca71da27,338.74,100.0,0,0,0
19d62d484cba71963c93f0f00ab42013,162.59,100.0,0,0,0
19e0f40a907ec568c34bfac15de4f4a1,219.62,51.0,49.0,0,0
1a3df491d1c4f1589fc2b934ada68bf2,28413.86,76.0,21.0,3.0,1.0
1a6245add4353f18ed55138808906979,39.34,100.0,0,0,0
1a8e2d9c38b84a9702ac7922924b0573,97.0,100.0,0,0,0
1a932caad4f9d804097d7f8e615baed1,5993.07,63.0,25.0,5.0,7.0
1acde099eb406aa220b1169b188b42da,458.5,28.0,52.0,14.0,6.0
1b0b0f4f95e962d6f32fe90c759d0479,163.17,100.0,0,0,0
1b1ae47a313a825a7ccceb8e2e30fa9d,2832.37,88.0,0,12.0,0
1b45169b635ef59425637e9a33eb5fb3,419.35,100.0,0,0,0
1b4b28463457a256e9a784ebe2a8f630,715.34,0,100.0,0,0
1b4c3a6f53068f0b6944d2d005c9fc89,17791.67,71.0,27.0,1.0,1.0
1b61fb1f0f2185d89e9a126c498e9cc7,65.81,100.0,0,0,0
1b65c144b17e607c0f37f10bb7dfec8d,1254.35,84.0,16.0,0,0
1b7e5006cb25dd23ce8686691013b121,2785.96,98.0,2.0,0,0
1b8356dabde1d35e17cef975c3f82730,4800.64,70.0,16.0,12.0,3.0
1b8b75e227c9a9c100d0c210fb6176ce,2352.34,89.0,5.0,7.0,0
1b938a7ec6ac5061a66a3766e0e75f90,4981.98,72.0,23.0,3.0,1.0
1bb2bdb95f4841f1bba2c0d2cd83d3c9,6235.92,71.0,24.0,2.0,2.0
1bb3812d5f0747a3ab7348f199001a10,1049.57,47.0,41.0,12.0,0
1bc2e21de46adfea6b98cc96b00f3b40,1142.55,36.0,64.0,0,0
1c129092bf23f28a5930387c980c0dfc,12734.99,82.0,15.0,1.0,2.0
1c40343cc5d18c2d8248ac2f3366de34,2839.42,93.0,7.0,0,0
1c56ffe0e9dea2657fc6e95b53f40b13,267.39,71.0,29.0,0,0
1c5e4e49b9079480255b49d50aac1aa9,11062.72,78.0,22.0,0,0
1c68394e931a64f90ea236c5ea590300,27729.16,70.0,27.0,0.0,3.0
1c742ac33582852aaf3bcfbf5893abcf,113.69,0,100.0,0,0
1c83418358f249c9d6affa52d579db0e,39.42,100.0,0,0,0
1ca4bdb0cd7fc48e949bac066188ed26,1963.08,77.0,23.0,0,0
1ca7077d890b907f89be8c954a02686a,15158.73,82.0,13.0,2.0,3.0
1caf283236cd69af44cbc09a0a1e7d32,1637.04,65.0,28.0,7.0,0
1cbcd2ee0afb3fc09963b87eb65e7e4f,130.65,0,100.0,0,0
1cbd32d00d01bb8087a5eb088612fd9c,1289.53,84.0,16.0,0,0
1cbd50a8c52e6cf8e315c5709fab386f,1006.66,64.0,36.0,0,0
1cbdc7cf130a41fd13a3c2a7d2fcfda7,225.61,100.0,0,0,0
1cd9e0cc1839d55516843def5600816d,926.72,37.0,24.0,0,39.0
1ce3ae5a399804d1a87e706f8a813c3e,3506.05,67.0,30.0,3.0,0
1d0646a72178a6fb37ee8082140e06ec,97.62,100.0,0,0,0
1d0997ff06b524ce9289ffd75114ecd3,3873.57,68.0,32.0,0,0
1d139e3a3b14025640d8df1b230aace0,71.18,100.0,0,0,0
1d1bbb8ac1581824986f582583fff01d,272.16,83.0,0,17.0,0
1d2732ef8321502ee8488e8bed1ab8cd,1228.18,56.0,44.0,0,0
1d29dfba02015238dfbe2449a5eaa361,789.92,68.0,24.0,0,9.0
1d4587203296c8f4ad134dc286fa6db0,3027.54,90.0,5.0,1.0,5.0
1d503743d2526f03f0c2c89540ee008c,788.92,78.0,13.0,9.0,0
1d8dbc4f32378d715c717c1c1fc57bae,13675.56,73.0,21.0,5.0,1.0
1d953075c2f0dd990bacf27b83b330f1,78.32,100.0,0,0,0
1da366cade6d8276e7d8beea7af5d4bf,9136.36,73.0,21.0,5.0,1.0
1da3aeb70d7989d1e6d9b0e887f97c23,13280.4,77.0,17.0,4.0,2.0
1dc2de47ee26a0a5b12dc14fd6dc0dea,2364.28,56.0,32.0,12.0,0
1dcfa3835714681d4ba4a93bc1e0fd41,1602.1,66.0,34.0,0,0
